Date,Open,High,Low,Close
09/08/2019,"10,522","10,593","10,301","10,366"
09/07/2019,"10,358","10,564","10,299","10,522"
09/06/2019,"10,520","10,933","10,232","10,357"
09/05/2019,"10,629","10,696","10,483","10,523"
09/04/2019,"10,714","10,825","10,401","10,631"
09/03/2019,"10,407","10,768","10,297","10,713"
09/02/2019,"9,644","10,460","9,644","10,407"
09/01/2019,"9,505","9,689","9,480","9,641"
08/31/2019,"9,635","9,656","9,466","9,505"
08/30/2019,"9,530","9,687","9,370","9,638"
08/29/2019,"9,672","9,752","9,345","9,530"
08/28/2019,"10,144","10,281","9,599","9,673"
08/27/2019,"10,270","10,400","10,033","10,144"
08/26/2019,"10,001","10,645","9,936","10,268"
08/25/2019,"10,105","10,329","9,972","10,003"
08/24/2019,"10,365","10,454","9,913","10,105"
08/23/2019,"10,186","10,460","10,064","10,357"
08/22/2019,"10,156","10,230","9,779","10,186"
08/21/2019,"10,707","10,849","9,891","10,162"
08/20/2019,"10,685","10,957","10,582","10,707"
08/19/2019,"10,370","10,836","10,276","10,677"
08/18/2019,"10,080","10,511","10,079","10,370"
08/17/2019,"10,398","10,487","10,027","10,074"
08/16/2019,"10,380","10,549","9,775","10,398"
08/15/2019,"10,177","10,398","9,517","10,374"
08/14/2019,"10,889","10,901","10,070","10,177"
08/13/2019,"11,428","11,442","10,778","10,898"
08/12/2019,"11,418","11,563","11,275","11,428"
08/11/2019,"11,321","11,468","11,119","11,411"
08/10/2019,"11,878","11,977","11,239","11,321"
08/09/2019,"11,616","12,072","11,615","11,879"
08/08/2019,"11,868","12,040","11,518","11,616"
08/07/2019,"11,650","12,127","11,230","11,866"
08/06/2019,"11,725","12,307","11,583","11,650"
08/05/2019,"10,943","11,944","10,819","11,722"
08/04/2019,"10,888","11,031","10,590","10,943"
08/03/2019,"10,403","10,916","10,368","10,881"
08/02/2019,"10,414","10,662","10,339","10,393"
08/01/2019,"10,029","10,478","9,897","10,414"
07/31/2019,"9,533","10,091","9,530","10,033"
07/30/2019,"9,516","9,726","9,390","9,533"
07/29/2019,"9,512","9,705","9,124","9,517"
07/28/2019,"9,444","9,556","9,334","9,512"
07/27/2019,"9,832","10,183","9,330","9,449"
07/26/2019,"9,875","9,940","9,668","9,839"
07/25/2019,"9,676","10,183","9,667","9,873"
07/24/2019,"10,145","10,145","9,550","9,685"
07/23/2019,"10,323","10,382","9,884","10,163"
07/22/2019,"10,504","10,664","10,076","10,323"
07/21/2019,"10,933","11,082","10,335","10,509"
07/20/2019,"10,519","10,989","10,411","10,929"
07/19/2019,"10,613","10,766","10,166","10,509"
07/18/2019,"9,692","10,733","9,300","10,609"
07/17/2019,"9,591","9,964","9,083","9,692"
07/16/2019,"10,805","11,051","9,514","9,597"
07/15/2019,"10,639","10,937","9,906","10,805"
07/14/2019,"10,908","11,437","10,322","10,647"
07/13/2019,"11,901","11,919","10,856","10,908"
07/12/2019,"11,162","11,908","11,080","11,888"
07/11/2019,"11,777","12,185","10,999","11,162"
07/10/2019,"12,388","13,181","11,689","11,805"
07/09/2019,"12,212","12,815","12,125","12,388"
07/08/2019,"11,513","12,280","11,353","12,212"
07/07/2019,"11,472","11,616","11,068","11,513"
07/06/2019,"11,046","11,715","10,850","11,478"
07/05/2019,"11,722","11,747","10,801","11,046"
07/04/2019,"11,380","12,057","11,315","11,732"
07/03/2019,"10,730","11,570","10,638","11,380"
07/02/2019,"10,479","10,927","9,682","10,775"
07/01/2019,"11,413","11,425","10,018","10,495"
06/30/2019,"12,162","12,208","10,861","11,413"
06/29/2019,"12,205","12,426","11,386","12,162"
06/28/2019,"10,680","12,382","10,500","12,216"
06/27/2019,"12,740","13,297","10,333","10,680"
06/26/2019,"11,380","13,814","11,372","12,796"
06/25/2019,"10,878","11,482","10,868","11,380"
06/24/2019,"11,063","11,283","10,565","10,878"
06/23/2019,"10,642","11,122","10,401","11,081"
06/22/2019,"9,938","11,195","9,871","10,646"
06/21/2019,"9,566","9,941","9,491","9,941"
06/20/2019,"9,174","9,604","9,150","9,566"
06/19/2019,"9,132","9,214","8,962","9,174"
06/18/2019,"9,283","9,463","8,949","9,135"
06/17/2019,"8,944","9,403","8,937","9,287"
06/16/2019,"8,800","9,386","8,780","8,942"
06/15/2019,"8,449","8,889","8,449","8,800"
06/14/2019,"8,263","8,461","8,184","8,449"
06/13/2019,"8,119","8,287","8,076","8,267"
06/12/2019,"7,924","8,256","7,829","8,113"
06/11/2019,"7,945","8,052","7,735","7,924"
06/10/2019,"7,721","8,059","7,515","7,945"
06/09/2019,"7,875","7,966","7,620","7,721"
06/08/2019,"7,897","8,064","7,806","7,875"
06/07/2019,"7,692","8,124","7,688","7,920"
06/06/2019,"7,747","7,870","7,478","7,692"
06/05/2019,"7,663","7,914","7,470","7,747"
06/04/2019,"8,549","8,553","7,557","7,663"
06/03/2019,"8,687","8,751","8,340","8,550"
06/02/2019,"8,542","8,822","8,530","8,681"
06/01/2019,"8,501","8,621","8,458","8,539"
05/31/2019,"8,455","8,508","8,047","8,501"
05/30/2019,"8,655","9,090","8,413","8,455"
05/29/2019,"8,701","8,767","8,468","8,656"
05/28/2019,"8,756","8,849","8,579","8,701"
05/27/2019,"8,622","8,938","8,552","8,752"
05/26/2019,"8,035","8,762","7,891","8,622"
05/25/2019,"8,110","8,147","7,950","8,035"
05/24/2019,"7,869","8,170","7,800","8,106"
05/23/2019,"7,834","7,864","7,496","7,854"
05/22/2019,"8,076","8,102","7,712","7,834"
05/21/2019,"7,984","8,110","7,823","8,076"
05/20/2019,"8,025","8,283","7,591","7,984"
05/19/2019,"7,294","8,129","7,247","8,023"
05/18/2019,"7,129","7,491","7,129","7,293"
05/17/2019,"7,749","7,948","6,689","7,131"
05/16/2019,"8,152","8,354","7,747","7,749"
05/15/2019,"7,722","8,243","7,639","8,152"
05/14/2019,"7,844","8,278","7,638","7,709"
05/13/2019,"7,162","7,919","6,877","7,832"
05/12/2019,"7,185","7,535","6,805","7,163"
05/11/2019,"6,132","6,455","6,131","6,325"
05/10/2019,"6,132","6,455","6,131","6,325"
05/09/2019,"5,989","6,170","5,964","6,131"
05/08/2019,"5,959","6,015","5,788","5,989"
05/07/2019,"5,809","6,065","5,793","5,965"
